36.000,44.000,0.785
37.233,45.333,0.785
39.067,47.100,0.785
40.933,48.833,0.785
42.733,50.700,0.785
44.400,52.333,0.785
45.800,54.033,0.785
47.400,55.400,0.785
48.833,56.733,0.785
50.933,58.567,0.262
53.667,58.833,-0.262
55.600,58.033,-0.785
57.000,56.833,-1.309
57.300,54.300,-1.833
56.400,52.067,-2.156
54.800,50.100,-2.356
51.300,46.300,-2.356
53.033,48.000,-2.356
49.933,44.533,-2.356
48.267,43.033,-2.356
46.900,41.300,-2.356
45.267,39.200,-2.356
43.3,37.5,-2.356
41.067,36.200,-2.880
38.267,35.900,-3.665
35.767,37.667,-4.189
34.533,40.167,-4.712
34.767,42.300,-5.236